report_month,price_range,range_min,range_max,range_rank,listings,sales_prev_12mo,months_inventory,source_pdf,parsed_at,built_at
2025-01,"$625,000 - $749,999",625000.0,749999.0,6,3102.0,8758.0,4.3,data\pdfs\nc_housing_2025-01.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-01,"$750,000 - $874,999",750000.0,874999.0,7,1847.0,4960.0,4.5,data\pdfs\nc_housing_2025-01.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-01,"$875,000 - $999,999",875000.0,999999.0,8,1259.0,3261.0,4.6,data\pdfs\nc_housing_2025-01.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-01,$1M - $1.99M,1000000.0,1990000.0,9,2722.0,5719.0,5.7,data\pdfs\nc_housing_2025-01.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-01,$2M and up,2000000.0,,10,906.0,1209.0,9.1,data\pdfs\nc_housing_2025-01.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-02,"Below $125,000",0.0,125000.0,1,1254.0,3903.0,3.9,data\pdfs\nc_housing_2025-02.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-02,"$125,000 - $249,999",125000.0,249999.0,2,7808.0,25838.0,3.6,data\pdfs\nc_housing_2025-02.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-02,"$250,000 - $374,999",250000.0,374999.0,3,15971.0,47673.0,4.0,data\pdfs\nc_housing_2025-02.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-02,"$375,000 - $499,999",375000.0,499999.0,4,11726.0,32917.0,4.3,data\pdfs\nc_housing_2025-02.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-02,"$500,000 - $624,999",500000.0,624999.0,5,5193.0,14492.0,4.3,data\pdfs\nc_housing_2025-02.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-02,"$625,000 - $749,999",625000.0,749999.0,6,3299.0,8787.0,4.5,data\pdfs\nc_housing_2025-02.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-02,"$750,000 - $874,999",750000.0,874999.0,7,2008.0,5009.0,4.8,data\pdfs\nc_housing_2025-02.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-02,"$875,000 - $999,999",875000.0,999999.0,8,1356.0,3265.0,5.0,data\pdfs\nc_housing_2025-02.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-02,$1M - $1.99M,1000000.0,1990000.0,9,2911.0,5752.0,6.1,data\pdfs\nc_housing_2025-02.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-02,$2M and up,2000000.0,,10,987.0,1238.0,9.6,data\pdfs\nc_housing_2025-02.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-03,"Below $125,000",0.0,125000.0,1,1254.0,3903.0,3.9,data\pdfs\nc_housing_2025-03.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-03,"$125,000 - $249,999",125000.0,249999.0,2,7808.0,25838.0,3.6,data\pdfs\nc_housing_2025-03.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-03,"$250,000 - $374,999",250000.0,374999.0,3,15971.0,47673.0,4.0,data\pdfs\nc_housing_2025-03.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-03,"$375,000 - $499,999",375000.0,499999.0,4,11726.0,32917.0,4.3,data\pdfs\nc_housing_2025-03.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
2025-03,"$500,000 - $624,999",500000.0,624999.0,5,5193.0,14492.0,4.3,data\pdfs\nc_housing_2025-03.pdf,2026-03-04 11:14:36,2026-03-10 19:30:26
